category_id,category_name
CAT001,Category 1
CAT002,Category 2
CAT003,Category 3
CAT004,Category 4
CAT005,Category 5
CAT006,Category 6
CAT007,Category 7
CAT008,Category 8
CAT009,Category 9
CAT010,Category 10
CAT011,Category 11
CAT012,Category 12
CAT013,Category 13
CAT014,Category 14
CAT015,Category 15
CAT016,Category 16
CAT017,Category 17
CAT018,Category 18
CAT019,Category 19
CAT020,Category 20
CAT021,Category 21
CAT022,Category 22
CAT023,Category 23
CAT024,Category 24
CAT025,Category 25
CAT026,Category 26
CAT027,Category 27
CAT028,Category 28
CAT029,Category 29
CAT030,Category 30
CAT031,Category 31
CAT032,Category 32
CAT033,Category 33
CAT034,Category 34
CAT035,Category 35
CAT036,Category 36
CAT037,Category 37
CAT038,Category 38
CAT039,Category 39
CAT040,Category 40
CAT041,Category 41
CAT042,Category 42
CAT043,Category 43
CAT044,Category 44
CAT045,Category 45
CAT046,Category 46
CAT047,Category 47
CAT048,Category 48
CAT049,Category 49
CAT050,Category 50
